id,title,full_question,difficulty,topic,companies
893,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,Uber
894,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,Google
895,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Easy,HashMap,"Apple, Amazon, Flipkart"
896,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,"Uber, PayPal, Wipro"
897,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,"Meta, Microsoft"
898,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,Goldman Sachs
899,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Hard,Arrays,"Uber, Apple, Amazon"
900,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Hard,Backtracking,"Apple, Infosys, Uber"
901,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Hard,Binary Search,"Goldman Sachs, Microsoft"
902,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Hard,Stack & Queue,Adobe
903,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Medium,Trees,"Adobe, Uber"
904,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,"PayPal, Google, Uber"
905,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Medium,Strings,"Google, Adobe, Microsoft"
906,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Hard,Linked List,"Wipro, Uber"
907,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,"Amazon, Flipkart, Apple"
908,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Hard,Trees,Adobe
909,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Hard,Strings,PayPal
910,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Hard,Arrays,"Meta, Apple, Amazon"
911,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Easy,Backtracking,"Uber, Apple"
912,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,"Wipro, Amazon, Microsoft"
913,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Adobe, Infosys"
914,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Hard,Binary Search,"Wipro, Goldman Sachs, TCS"
915,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,Amazon
916,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n×n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the puzzle.",Hard,Backtracking,"Oracle, Adobe, TCS"
917,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Medium,Dynamic Programming,"Amazon, TCS"
918,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Hard,Graphs,"Infosys, PayPal, Flipkart"
919,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,"Uber, Microsoft"
920,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Hard,Dynamic Programming,"TCS, Meta, Apple"
